Type,Percent
Afghan,70
African,29
American,42
Armenian,2
Asian,4
Australian,25
Bagels/Pretzels,3
Bakery,72
Bangladeshi,4
Barbecue,3
"Bottled beverages",6
Brazilian,56
Coffee/Tea,54
Cajun,70
Californian,29
Caribbean,11
Chicken,10
Chilean,90
Chinese,32
Chinese/Cuban,2
Chinese/Japanese,1
Continental,60
Creole,1
Creole/Cajun,1
Czech,29
Delicatessen,24
Donuts,69
Eastern European,4
Egyptian,66
English,49
Ethiopian,81
Filipino,73
French,1
Fruits/Vegetables,2
German,28
Greek,4
Hamburgers,73
Hawaiian,1
Hotdogs,1
Hotdogs/Pretzels,1
"Ice Cream",22
Indian,8
Indonesian,33
Iranian,55
Irish,13
Italian,52
Japanese,18
Jewish/Kosher,11
"Juice",38
Korean,35
"Latin",17
Mediterranean,5
Mexican,76
Middle Eastern,5
Moroccan,69
Not Listed,10
Nuts/Confectionary,100
Other,88
Pakistani,3
Pancakes/Waffles,3
Peruvian,2
Pizza,19
Pizza/Italian,54
Polish,1
Polynesian,49
Portuguese,89
Russian,91
Salads,60
Sandwiches,46
Mixed Buffet,22
Scandinavian,57
Seafood,24
Soul Food,8
Soups,44
Soups & Sandwiches,1
Southwestern,88
Spanish,13
Steak,5
Tapas,1
Tex-Mex,10
Thai,6
Turkish,59
Vegetarian,79
Vietnamese,42